Date,Open,High,Low,Close,Adj Close,Volume
2022-05-24,6.455418,6.54053,6.266486,6.480144,6.480144,35827530537
2022-05-25,6.479405,6.539779,6.385794,6.431054,6.431054,32535702828
2022-05-26,6.431775,6.478774,5.902467,6.074711,6.074711,55264415917
2022-05-27,6.071521,6.63367,5.949835,6.319078,6.319078,101781260922
2022-05-28,6.390043,6.452143,6.304801,6.358272,6.358272,41607251282
2022-05-29,6.358156,6.451067,6.238618,6.424027,6.424027,30685519120
2022-05-30,6.423914,6.846015,6.391656,6.814683,6.814683,53566053763
2022-05-31,6.814287,6.842691,6.494102,6.663032,6.663032,52181200381
2022-06-01,6.662309,6.870778,6.190756,6.288614,6.288614,64452335782
2022-06-02,6.288296,6.423091,6.236821,6.404902,6.404902,33622387292
2022-06-03,6.405263,6.418674,6.193643,6.249906,6.249906,31337202464
2022-06-04,6.250825,6.397006,6.194338,6.353567,6.353567,27218311117
2022-06-05,6.353431,6.381585,6.280427,6.311037,6.311037,21958332474
2022-06-06,6.310747,6.564647,6.303041,6.422553,6.422553,39199132133
2022-06-07,6.422607,6.422607,6.093318,6.253524,6.253524,39584358131
2022-06-08,6.251903,6.32318,6.148735,6.174498,6.174498,25497718177
2022-06-09,6.174266,6.289346,6.146609,6.173882,6.173882,21374831019
2022-06-10,6.173804,6.185725,5.839243,5.89881,5.89881,33735343779
2022-06-11,5.900258,5.972702,5.362607,5.464191,5.464191,38868255096
2022-06-12,5.466053,5.499368,4.992461,5.029665,5.029665,55362182014
2022-06-13,5.024882,5.15101,4.144485,4.214506,4.214506,114527646046
2022-06-14,4.216072,4.534758,3.925341,4.335364,4.335364,70882912440
2022-06-15,4.334207,4.944469,3.953783,4.907732,4.907732,87426424071
2022-06-16,4.905945,4.905945,4.250417,4.291052,4.291052,56493436517
2022-06-17,4.292439,4.520878,4.280878,4.443399,4.443399,29924038636
2022-06-18,4.442143,4.502668,3.876232,4.132913,4.132913,50857933490
2022-06-19,4.132533,4.870423,4.000017,4.708544,4.708544,90916066035
2022-06-20,4.708768,4.767319,4.50048,4.689833,4.689833,38890653677
2022-06-21,4.689691,5.413874,4.624347,5.123429,5.123429,82190328197
2022-06-22,5.126168,5.13745,4.800226,4.825422,4.825422,49544783874
2022-06-23,4.824734,5.057605,4.824734,5.003655,5.003655,33927153200
2022-06-24,5.00259,5.333839,5.001466,5.252627,5.252627,40278865803
2022-06-25,5.251518,5.408195,5.116481,5.360503,5.360503,33857655005
2022-06-26,5.359336,6.022842,5.282353,5.726261,5.726261,69150935693
2022-06-27,5.724489,6.145788,5.570996,5.666539,5.666539,75480095656
2022-06-28,5.665119,5.749799,5.196923,5.215426,5.215426,42288004722
2022-06-29,5.218559,5.628173,5.10318,5.480914,5.480914,46773298210
2022-06-30,5.48197,5.484446,4.956985,5.218332,5.218332,44744368285
2022-07-01,5.228038,5.374478,5.070182,5.224557,5.224557,37299678298
2022-07-02,5.226959,5.344327,5.205473,5.265887,5.265887,27837284184
2022-07-03,5.26588,5.317832,5.140558,5.303881,5.303881,22175605575
2022-07-04,5.303478,5.494571,5.207132,5.484125,5.484125,29964037750
2022-07-05,5.480872,5.51326,5.211337,5.329979,5.329979,32003041275
2022-07-06,5.33132,5.458449,5.260197,5.420922,5.420922,31531973418
2022-07-07,5.420611,5.634104,5.376314,5.594713,5.594713,31894063015
2022-07-08,5.594493,5.780681,5.438683,5.494269,5.494269,35252561894
2022-07-09,5.491638,5.553609,5.47349,5.514142,5.514142,20170544933
2022-07-10,5.513911,5.513911,5.277841,5.336049,5.336049,23784431222
2022-07-11,5.336515,5.336515,4.890655,4.915453,4.915453,25919850875
2022-07-12,4.915772,5.005145,4.775493,4.775493,4.775493,23720734564
2022-07-13,4.775353,4.948925,4.660812,4.944288,4.944288,35634506031
2022-07-14,4.942686,5.002948,4.778485,4.983932,4.983932,27804930379
2022-07-15,4.984443,5.132063,4.932301,5.025762,5.025762,29844069404
2022-07-16,5.025352,5.164095,4.932304,5.128606,5.128606,22311561344
2022-07-17,5.129266,5.213345,5.030457,5.03096,5.03096,19906021711
2022-07-18,5.031508,5.494383,5.031508,5.419267,5.419267,45200902967
2022-07-19,5.41726,5.581824,5.254865,5.51109,5.51109,44097452882
2022-07-20,5.511299,6.122064,5.424489,5.61004,5.61004,81556707410
2022-07-21,5.610373,5.659068,5.37851,5.581125,5.581125,39284507191
2022-07-22,5.581968,5.693326,5.353797,5.396746,5.396746,38297515315
2022-07-23,5.394167,5.538054,5.293973,5.441451,5.441451,34180725677
2022-07-24,5.44085,5.499814,5.397548,5.409624,5.409624,29485934177
2022-07-25,5.408924,5.422055,4.967169,4.967169,4.967169,35761429928
2022-07-26,4.968279,4.991057,4.825429,4.991057,4.991057,33253010364
2022-07-27,4.991218,5.351434,4.943613,5.351434,5.351434,39860313320
2022-07-28,5.352278,5.616018,5.223992,5.499056,5.499056,51799825900
2022-07-29,5.498697,5.717606,5.363149,5.45726,5.45726,55190022282
2022-07-30,5.45696,5.853292,5.400009,5.515429,5.515429,60233474392
2022-07-31,5.515319,5.704229,5.389561,5.406823,5.406823,41275990820
2022-08-01,5.406345,5.600061,5.305183,5.426269,5.426269,35063403106
2022-08-02,5.424907,5.439728,5.187944,5.242433,5.242433,26461676173
2022-08-03,5.242323,5.405822,5.150724,5.237277,5.237277,22692734845
2022-08-04,5.237448,5.343147,5.237944,5.331644,5.331644,20299982447
2022-08-05,5.3298,5.554825,5.323639,5.540067,5.540067,26699239257
2022-08-06,5.54018,5.638087,5.446176,5.45321,5.45321,22073431747
